Year,uYear,Continent_ID,CountryID,CustomerID,SpeciesID,SpeciesGroup,U1Code,U1TypeID,CatID,CurrencyID,OrderNumber,RowNumber,CreateDate,DestDate,SellerID,AgentID,Total(Ton),Qunt
שנה,שנת ייצור,אזור,מדינה,לקוח,קוד זן,קבוצת זן,שימוש (סוג מוצר),סוג שימוש,"מק""ט",מטבע,מספר הזמנה,שורה,ת.יצירת שורה,ת.נדרש,קוד משווק,קוד סוכן,כמות בטון,
2008,2013,1,31,712420200,41,2,91,-,49672668,2,30423,1,23/12/2008,27/12/2008,R17,712843600,11.9,26.14
2008,2013,1,31,712420200,41,2,91,-,496117222,2,29702,1,31/07/2008,09/08/2008,R17,712843600,23.4,51.48
2008,2013,1,31,712420200,48,2,20,2,423217222,2,30195,1,05/11/2008,15/11/2008,R17,712843600,48.0,105.60
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,1,25/03/2008,05/04/2008,R17,712843600,24.0,52.80
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,2,25/03/2008,03/05/2008,R17,712843600,24.0,52.80
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,3,25/03/2008,07/06/2008,R17,712843600,24.0,52.80
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,4,25/03/2008,21/06/2008,R17,712843600,48.0,105.60
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,5,25/03/2008,28/06/2008,R17,712843600,120.0,264.00
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,6,25/03/2008,05/07/2008,R17,712843600,72.0,158.40
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,7,25/03/2008,12/07/2008,R17,712843600,72.0,158.40
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,8,25/03/2008,13/09/2008,R17,712843600,96.0,211.20
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,9,25/03/2008,18/10/2008,R17,712843600,96.0,211.20
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,10,25/03/2008,18/10/2008,R17,712843600,24.0,52.80
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,11,25/03/2008,18/10/2008,R17,712843600,120.0,264.00
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,12,25/03/2008,01/11/2008,R17,712843600,72.0,158.40
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,13,25/03/2008,29/11/2008,R17,712843600,72.0,158.40
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28747,14,25/03/2008,13/12/2008,R17,712843600,72.0,158.40
2008,2013,1,31,712420200,48,2,20,2,423117222,2,28795,2,02/04/2008,25/10/2008,R17,712843600,500.0,1100.00
2008,2013,1,31,712420200,48,2,20,2,423117222,2,29003,1,30/04/2008,31/12/2008,R17,712843600,0.0,0.00
2008,2013,1,31,712420200,48,2,20,2,423117222,2,29379,1,16/06/2008,21/06/2008,R17,712843600,24.0,52.80
2008,2013,1,31,712420200,48,2,20,2,423117222,2,29718,1,05/08/2008,09/08/2008,R17,712843600,192.0,422.40
2008,2013,1,31,712422300,2,1,40,1,259217182,2,29638,1,24/07/2008,09/08/2008,R15,          ,19.6,43.12
2008,2013,1,31,712422300,80,4,-,1,862417182,2,28794,1,02/04/2008,12/04/2008,R15,          ,37.1,81.62
2008,2013,1,31,712422300,80,4,-,1,862417182,2,29420,1,27/06/2008,05/07/2008,R15,          ,39.0,85.80
2008,2013,1,31,712422300,80,4,-,1,862417182,2,29637,1,24/07/2008,09/08/2008,R15,          ,40.0,88.00
2008,2013,1,31,712422300,80,4,-,1,862517182,2,28919,1,17/04/2008,03/05/2008,R15,          ,18.6,40.81
2008,2013,1,31,712422300,80,4,-,1,862517182,2,29636,1,24/07/2008,09/08/2008,R15,          ,19.5,42.90
2008,2013,1,31,712423500,2,1,46,4,36262518,2,28532,1,05/03/2008,05/04/2008,R17,712430900,24.0,52.80
2008,2013,1,31,712423500,2,1,46,4,36262518,2,28532,2,05/03/2008,03/05/2008,R17,712430900,24.0,52.80
2008,2013,1,31,712423800,41,2,20,2,421317222,2,28796,3,02/04/2008,11/10/2008,R17,          ,120.0,264.00
2008,2013,1,32,712430400,48,2,20,2,423517222,2,28224,1,04/02/2008,09/02/2008,R17,712430900,216.0,475.20
2008,2013,1,32,712430400,48,2,20,2,423317222,2,28223,1,04/02/2008,09/02/2008,R17,712430900,197.0,433.40
2008,2013,1,32,712432400,2,1,103,-,32473335,22,28715,2,24/03/2008,23/08/2008,R17,          ,392.3,862.95
2008,2013,1,32,712432400,77,4,10,5,72463436,22,28709,2,24/03/2008,22/11/2008,R17,          ,12.3,27.03
2008,2013,1,32,712432400,88,4,10,-,82123336,22,28725,2,24/03/2008,31/05/2008,R17,          ,31.4,69.17
2008,2013,1,32,712433000,2,1,46,4,36262518,2,28389,1,19/02/2008,01/03/2008,R17,712430900,48.0,105.60
2008,2013,1,32,712433000,2,1,46,4,36262518,2,28389,2,19/02/2008,02/08/2008,R17,712430900,19.2,42.24
2008,2013,1,32,712433000,2,1,46,4,36262518,2,30135,1,19/10/2008,15/11/2008,R17,712430900,48.0,105.60
2008,2013,1,32,712433000,2,1,46,4,36262518,2,30135,2,19/10/2008,27/12/2008,R17,712430900,48.0,105.60
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,1,14/01/2008,02/02/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,2,14/01/2008,23/02/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,3,14/01/2008,15/03/2008,R17,712430900,18.0,39.60
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,4,14/01/2008,29/03/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,5,14/01/2008,26/04/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,6,14/01/2008,17/05/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,7,14/01/2008,31/05/2008,R17,712430900,36.0,79.20
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,8,14/01/2008,14/06/2008,R17,712430900,36.0,79.20
2008,2013,1,32,712433000,2,1,46,4,36262818,2,28058,10,14/01/2008,02/08/2008,R17,712430900,54.0,118.80
2008,2013,1,32,712433000,2,1,46,4,36262818,2,29658,2,27/07/2008,11/10/2008,R17,712430900,0.0,0.00
2008,2013,1,32,712433000,2,1,46,4,36022518,2,28003,1,08/01/2008,02/02/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433000,2,1,46,4,36022518,2,28003,2,08/01/2008,22/03/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433000,2,1,46,4,36022518,2,28003,3,08/01/2008,05/04/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433000,41,2,11,2,437217222,2,28942,1,21/04/2008,26/04/2008,R17,712430900,18.2,40.04
2008,2013,1,32,712433000,41,2,46,1,46012518,2,28004,1,09/01/2008,02/02/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433000,41,2,46,1,46012518,2,28004,2,09/01/2008,22/03/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433000,41,2,46,1,46012518,2,28004,3,09/01/2008,17/05/2008,R17,712430900,16.3,35.95
2008,2013,1,32,712433400,4,2,46,1,461446622,2,30048,1,02/10/2008,11/10/2008,R11,712430900,0.7,1.49
2008,2013,1,33,712300200,48,2,20,2,423217222,2,28746,1,25/03/2008,29/03/2008,R17,712430900,21.6,47.52
2008,2013,1,33,712300200,48,2,20,2,423217222,2,29697,1,30/07/2008,09/08/2008,R17,712430900,24.0,52.80
2008,2013,1,33,712300200,48,2,20,2,423217222,2,29697,2,30/07/2008,30/08/2008,R17,712430900,24.0,52.80
2008,2013,1,33,712300200,48,2,20,2,423217222,2,30198,2,05/11/2008,20/12/2008,R17,712430900,96.0,211.20
2008,2013,1,33,712301000,41,2,12,1,430215122,2,28913,1,16/04/2008,10/05/2008,R17,712430900,13.0,28.60
2008,2013,1,33,712301000,41,2,12,1,430215122,2,28915,1,16/04/2008,02/08/2008,R17,712430900,7.0,15.44
2008,2013,1,33,712301000,48,2,12,1,431415162,2,28914,1,16/04/2008,10/05/2008,R17,712430900,5.2,11.44
2008,2013,1,33,712301000,48,2,12,1,431415162,2,28916,1,16/04/2008,02/08/2008,R17,712430900,11.2,24.60
2008,2013,1,33,712304200,-,-,-,-,423816722,2,28344,1,17/02/2008,23/02/2008,R17,712430900,23.2,51.04
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,1,16/04/2008,26/04/2008,R20,712012500,19.0,41.80
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,2,16/04/2008,17/05/2008,R20,712012500,19.0,41.80
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,3,16/04/2008,27/09/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,4,16/04/2008,07/06/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,5,16/04/2008,07/06/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,6,16/04/2008,07/06/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,7,16/04/2008,19/07/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,8,16/04/2008,26/07/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,9,16/04/2008,02/08/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,10,16/04/2008,09/08/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,11,16/04/2008,16/08/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,12,16/04/2008,06/09/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,13,16/04/2008,13/09/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,14,16/04/2008,25/10/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,2,1,11,2,33142668,2,28918,15,16/04/2008,08/11/2008,R20,712012500,18.7,41.18
2008,2013,1,33,712305200,3,1,12,1,631615162,2,30168,1,30/10/2008,08/11/2008,R20,712012500,18.2,40.04
2008,2013,1,33,712305300,2,1,103,5,324234107,2,28572,1,06/03/2008,15/03/2008,R17,          ,18.1,39.76
2008,2013,1,33,712305300,48,2,10,-,425234107,2,28571,1,06/03/2008,15/03/2008,R17,          ,18.0,39.61
2008,2013,1,33,712305800,3,1,12,1,631615162,2,29432,1,01/07/2008,12/07/2008,R20,          ,24.0,52.80
2008,2013,1,33,712305800,3,1,12,1,631615162,2,29432,3,01/07/2008,11/10/2008,R20,          ,0.0,0.00
2008,2013,1,33,712306300,2,1,40,4,36242518,2,29239,1,03/06/2008,14/06/2008,R17,712430900,17.5,38.46
2008,2013,1,33,712307640,2,1,103,-,32473329,22,28727,2,24/03/2008,22/11/2008,R17,          ,104.6,230.12
2008,2013,1,33,712307800,5,3,20,2,521115162,2,29944,1,12/09/2008,20/09/2008,R17,          ,2.0,4.40
2008,2013,1,33,712307800,48,2,10,-,42513410,22,28788,2,31/03/2008,19/04/2008,R17,          ,937.8,2063.16
2008,2013,1,33,712307800,48,2,20,2,423117222,2,29942,1,11/09/2008,20/09/2008,R17,          ,22.0,48.40
2008,2013,1,33,712309600,2,1,137,8,344177417,2,28348,1,17/02/2008,23/02/2008,R13,          ,8.5,18.62
2008,2013,1,33,712309600,5,3,14,8,54517741,2,28349,1,17/02/2008,23/02/2008,R13,          ,0.9,2.07
2008,2013,1,33,712309600,65,4,137,8,845377417,2,28347,1,17/02/2008,23/02/2008,R13,          ,11.3,24.83
2008,2013,1,33,712309600,68,4,137,8,84587741,2,28350,1,17/02/2008,23/02/2008,R13,          ,0.9,2.08
2008,2013,1,33,712309600,80,4,137,8,84507741,2,28351,1,17/02/2008,23/02/2008,R13,          ,0.9,2.08
2008,2013,1,33,712309600,82,4,137,8,845177417,2,28346,1,17/02/2008,23/02/2008,R13,          ,3.8,8.29
2008,2013,1,33,712309600,82,4,137,8,845177417,2,28412,1,21/02/2008,01/03/2008,R13,          ,20.7,45.61
2008,2013,1,33,712309600,82,4,137,8,845177417,2,28413,1,21/02/2008,01/03/2008,R13,          ,11.5,25.29
2008,2013,1,33,712309600,608,4,13,8,845577417,2,28498,1,03/03/2008,08/03/2008,R13,          ,8.5,18.71
2008,2013,1,36,712440600,2,1,20,2,321117222,22,29006,1,01/05/2008,17/05/2008,R16,          ,0.2,0.44
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28125,1,24/01/2008,02/02/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28234,1,06/02/2008,16/02/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28320,1,11/02/2008,16/02/2008,R16,          ,0.0,0.00
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28321,1,11/02/2008,15/03/2008,R16,          ,15.9,34.98
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28771,1,27/03/2008,05/04/2008,R16,          ,20.1,44.31
2008,2013,1,36,712440600,2,1,40,1,35542668,22,28853,1,08/04/2008,19/04/2008,R16,          ,13.5,29.73
